name,load,startTime,endTime,startPos,endPos
DeRotterda.West.LW.LW02,4,2014-04-03 14:07:26,2014-04-03 14:07:51,25,43
DeRotterda.West.LW.LW02,12,2014-04-03 14:08:01,2014-04-03 14:08:08,43,42
DeRotterda.West.LW.LW02,5,2014-04-03 14:08:47,2014-04-03 14:09:27,42,9
DeRotterda.West.LW.LW02,6,2014-04-03 14:09:42,2014-04-03 14:10:01,9,0
DeRotterda.West.LW.LW02,0,2014-04-03 14:10:09,2014-04-03 14:10:27,0,9
DeRotterda.West.LW.LW02,10,2014-04-03 14:10:37,2014-04-03 14:11:05,9,30
DeRotterda.West.LW.LW02,13,2014-04-03 14:15:33,2014-04-03 14:15:59,30,11
DeRotterda.West.LW.LW02,11,2014-04-03 14:16:09,2014-04-03 14:16:30,11,0
DeRotterda.West.LW.LW02,8,2014-04-03 14:17:10,2014-04-03 14:17:38,0,18
DeRotterda.West.LW.LW02,3,2014-04-03 14:20:42,2014-04-03 14:20:56,18,25
DeRotterda.West.LW.LW02,8,2014-04-03 14:21:08,2014-04-03 14:21:43,25,0
DeRotterda.West.LW.LW02,5,2014-04-03 14:24:59,2014-04-03 14:25:11,0,4
DeRotterda.West.LW.LW02,1,2014-04-03 14:27:55,2014-04-03 14:28:03,4,2
DeRotterda.West.LW.LW02,9,2014-04-03 14:28:12,2014-04-03 14:28:22,2,0
DeRotterda.West.LW.LW02,4,2014-04-03 14:28:34,2014-04-03 14:28:46,0,4
DeRotterda.West.LW.LW02,5,2014-04-03 14:30:14,2014-04-03 14:30:26,4,0
DeRotterda.West.LW.LW02,18,2014-04-03 14:30:40,2014-04-03 14:31:00,0,11
DeRotterda.West.LW.LW02,10,2014-04-03 14:31:09,2014-04-03 14:31:47,11,42
DeRotterda.West.LW.LW02,5,2014-04-03 14:34:36,2014-04-03 14:35:00,42,25
DeRotterda.West.LW.LW02,11,2014-04-03 14:35:15,2014-04-03 14:35:49,25,0
DeRotterda.West.LW.LW02,7,2014-04-03 14:37:23,2014-04-03 14:37:33,0,2
DeRotterda.West.LW.LW02,1,2014-04-03 14:42:40,2014-04-03 14:42:47,2,3
DeRotterda.West.LW.LW02,10,2014-04-03 14:43:00,2014-04-03 14:43:27,3,21
DeRotterda.West.LW.LW02,3,2014-04-03 14:52:26,2014-04-03 14:52:57,21,0
